Fecha;Dia semana;Monto total;Efectivo;Tarjeta Credito;Tarjeta Debito;Web Pay;PedidosYa;PedidosYa Vouchers;Rappi;UberEats;Mercat;Transferencia;PedidosYa Efectivo;Uber eats
lunes, 5 de septiembre de 2022;Monday;1090719;180897;61589;537023;0;53110;0;21990;236110;0;0;0;0
martes, 6 de septiembre de 2022;Tuesday;1098073;55937;349545;340451;0;135520;0;8590;134940;34270;0;38820;0
miércoles, 7 de septiembre de 2022;Wednesday;1067980;176804;68363;501723;0;96700;0;87730;106780;16990;0;12890;0
jueves, 8 de septiembre de 2022;Thursday;2644325;146398;108306;1206919;0;218600;0;349660;519342;81920;0;13180;0
viernes, 9 de septiembre de 2022;Friday;2512289;160616;65862;1612021;0;147760;0;148430;267480;88130;0;21990;0
sábado, 10 de septiembre de 2022;Saturday;2374991;271565;117284;1190691;0;142660;0;178350;374431;92020;0;7990;0
domingo, 11 de septiembre de 2022;Sunday;1346745;127735;137269;598267;0;129290;0;54150;161013;124031;0;14990;0
lunes, 12 de septiembre de 2022;Monday;658071;66148;18678;414534;0;0;0;10990;118951;9790;0;18980;0
martes, 13 de septiembre de 2022;Tuesday;1272732;89578;23150;981644;0;52900;0;0;66920;58540;0;0;0
miércoles, 14 de septiembre de 2022;Wednesday;1727859;174754;213378;909469;0;138230;0;94820;84440;100910;11858;0;0
jueves, 15 de septiembre de 2022;Thursday;4079402;245634;427592;2545449;137337;158940;0;182010;284920;68540;0;28980;0
viernes, 16 de septiembre de 2022;Friday;1507439;58420;212392;832817;0;131670;0;126880;129480;15780;0;0;0
sábado, 17 de septiembre de 2022;Saturday;1340791;122008;95975;600087;0;45470;0;112150;318331;38480;0;8290;0
domingo, 18 de septiembre de 2022;Sunday;0;0;0;0;0;0;0;0;0;0;0;0;0
lunes, 19 de septiembre de 2022;Monday;0;0;0;0;0;0;0;0;0;0;0;0;0
martes, 20 de septiembre de 2022;Tuesday;591808;71945;99836;217107;0;26970;0;22340;137870;6290;0;9450;0
miércoles, 21 de septiembre de 2022;Wednesday;970465;135833;67496;369776;0;68990;0;30730;283660;13980;0;0;0
jueves, 22 de septiembre de 2022;Thursday;1607381;196853;35970;944826;0;74080;0;57240;226692;49740;0;21980;0
viernes, 23 de septiembre de 2022;Friday;3154693;188208;283810;1513675;0;203970;0;254660;564530;113910;0;31930;0
sábado, 24 de septiembre de 2022;Saturday;1678712;71268;145090;1014634;0;34820;0;47050;286940;65930;0;12980;0
domingo, 25 de septiembre de 2022;Sunday;1092000;228878;26356;435105;0;49650;0;52350;262891;0;0;36770;0
lunes, 26 de septiembre de 2022;Monday;1184520;174800;149927;593893;0;92580;0;0;105570;67750;0;0;0
martes, 27 de septiembre de 2022;Tuesday;940789;95906;67738;472074;0;12240;0;48610;236631;0;0;7590;0
